City,Count,latitude,longitude
Los Angeles,31,34.0536909,-118.242766
Phoenix,24,33.4484367,-112.074141
Houston,24,29.7589382,-95.3676974
Chicago,23,41.8755616,-87.6244212
Austin,16,30.2711286,-97.7436995
San Antonio,16,29.4246002,-98.4951405
Las Vegas,16,36.1672559,-115.148516
Columbus,16,39.9622601,-83.0007065
Miami,15,25.7741728,-80.19362
Tucson,13,32.2228765,-110.9748477
Indianapolis,13,39.7683331,-86.1583502
Albuquerque,12,35.0841034,-106.650985
Kansas City,11,39.100105,-94.5781416
Oklahoma City,11,35.4729886,-97.5170536
Bakersfield,11,35.3738712,-119.0194639
Denver,10,39.7392364,-104.984862
St. Louis,10,38.6280278,-90.1910154
Dallas,10,32.7762719,-96.7968559
Charlotte,10,35.2272086,-80.8430827
Washington,10,38.8950368,-77.0365427
New York,9,40.7127281,-74.0060152
Fresno,9,36.7394421,-119.7848307
Long Beach,9,33.7690164,-118.191604
San Francisco,9,37.7790262,-122.419906
Tulsa,9,36.1563122,-95.9927516
San Bernardino,9,34.8253019,-116.0833144
Omaha,8,41.2587459,-95.9383758
San Diego,8,32.7174202,-117.1627728
Orlando,8,28.5421109,-81.3790304
Jacksonville,8,30.3321838,-81.655651
Reno,8,39.5261206,-119.8126581
San Jose,8,37.3361663,-121.890591
Santa Ana,7,33.7494951,-117.8732213
Baltimore,7,39.2908816,-76.610759
Oakland,7,37.8044557,-122.271356
Fort Worth,7,32.753177,-97.3327459
Stockton,7,37.9577016,-121.2907796
Philadelphia,7,39.9527237,-75.1635262
Baton Rouge,7,30.4494155,-91.1869659
El Paso,7,31.7550511,-106.4882345
Louisville,7,38.2542376,-85.759407
New Orleans,7,29.9759983,-90.0782127
Atlanta,6,33.7489924,-84.3902644
Springfield,6,39.7990175,-89.6439575
Arlington,6,32.7355816,-97.1071186
Mesa,6,33.4151005,-111.831455
Portland,6,45.5202471,-122.674194
Aurora,6,41.7571701,-88.3147539
Hemet,6,33.7475203,-116.9719684
Sacramento,5,38.5810606,-121.493895
Modesto,5,37.6390972,-120.9968782
St. Paul,5,44.9497487,-93.0931028
Norfolk,5,52.666667,1.0
Tempe,5,33.4255117,-111.9400164
Lancaster,5,40.03813,-76.3056686
Tampa,5,27.9477595,-82.458444
Anaheim,5,33.8347516,-117.911732
Cincinnati,5,39.1014537,-84.5124602
Memphis,5,35.1460249,-90.0517638
Lakewood,5,39.7085736,-105.0846694
Newark,5,40.735657,-74.1723667
Columbia,5,4.099917,-72.9088133
Boston,5,42.3554334,-71.060511
Colorado Springs,5,38.8339578,-104.825348
Kingman,4,37.5420937,-98.122172
Lynn,4,33.1474257,-101.812592
Lincoln,4,40.8088861,-96.7077751
Detroit,4,42.3315509,-83.0466403
Seattle,4,47.6038321,-122.330062
Milwaukee,4,43.0349931,-87.922497
Durham,4,35.996653,-78.9018053
Hilo,4,19.7073734,-155.08158
Fort Wayne,4,41.0799898,-85.1386015
Odessa,4,46.4843023,30.7322878
Tacoma,4,47.2455013,-122.438329
Boise,4,43.6008183,-116.24210864118032
Greenville,4,34.851354,-82.3984882
Glendale,4,34.1469416,-118.2478471
Pueblo,4,38.2544472,-104.609141
Nashville,4,36.1622767,-86.7742984
Beaverton,4,45.4871723,-122.80378
Jackson,4,32.3086744,-90.1983063
Las Cruces,4,32.3140354,-106.779807
Boulder,4,40.0149856,-105.270545
Weatherford,4,32.7589648,-97.7970748
Brooklyn,4,40.6526006,-73.9497211
Indio,3,33.7192808,-116.2188054
Syracuse,3,43.0481221,-76.1474244
Gainesville,3,29.6519684,-82.3249846
Salt Lake City,3,40.7596198,-111.886797
Camden,3,39.9448402,-75.1198911
Lakeland,3,28.0394654,-81.9498042
Grand Junction,3,39.063956,-108.5507317
Fairbanks,3,64.837845,-147.716675
Palm Bay,3,27.9946969,-80.6366144
Alexandria,3,38.8051095,-77.0470229
Hutchinson,3,35.8148236,-101.34844
Huntsville,3,34.729847,-86.5859011
Morgantown,3,39.6296809,-79.9559437
Kent,3,51.20707485,0.7210361813401444
Wichita,3,37.6922361,-97.3375448
Benton,3,45.7162129,-94.0481042
Compton,3,33.894927,-118.226624
Medford,3,42.4184296,-71.1061639
Brooksville,3,28.5552719,-82.3878709
Fontana,3,34.0922335,-117.435048
Burlington,3,44.4761601,-73.212906
Elkton,3,39.6065073,-75.8330934
Wilmington,3,39.7459468,-75.546589
York,3,53.9590555,-1.0815361
Cleveland,3,41.4996574,-81.6936772
Ontario,3,50.000678,-86.000977
Knoxville,3,35.9603948,-83.9210261
Des Moines,3,41.5910323,-93.6046655
Birmingham,3,52.4796992,-1.9026911
Fort Pierce,3,27.4467056,-80.3256056
Hobbs,3,32.707667,-103.1311314
Azusa,3,34.1338751,-117.9056046
Citrus Heights,3,38.7071247,-121.2810611
Ruidoso,3,33.3315804,-105.6730991
North Las Vegas,3,36.2005843,-115.121584
Akron,3,41.083064,-81.518485
Anchorage,3,61.2163129,-149.894852
Fayetteville,3,36.0625843,-94.1574328
Valdosta,3,30.8327022,-83.2784851
Princeton,3,40.3492744,-74.6592958
Smyrna,3,38.4224548,27.1310699
Chattanooga,3,35.0457219,-85.3094883
Harvey,3,38.0352315,-97.4486267
Gastonia,3,35.2622654,-81.1838186
Chester,3,53.1908873,-2.8908955
Beaumont,3,30.0860459,-94.1018461
Fort Collins,3,40.5508527,-105.0668085
Fremont,3,37.5482697,-121.988571
Flagstaff,3,35.1987522,-111.651822
Temecula,3,33.4946353,-117.1473661
Antioch,3,36.0600602,-86.6722192
Amarillo,3,35.2072185,-101.833824
Irving,3,32.8295183,-96.9442177
Raleigh,3,35.7803977,-78.6390989
Billings,3,45.7874957,-108.49607
Richmond,3,37.5385087,-77.43428
Sugar Creek,3,39.1399165,-94.40303431420517
Florence,3,43.7698712,11.2555757
Scottsdale,3,33.4942189,-111.926018
Phenix City,3,32.4709761,-85.0007653
Westminster,3,51.5004439,-0.1265398
Douglas,3,39.7628415,-88.2170516
Sunnyvale,3,37.3688301,-122.036349
Vancouver,3,49.2608724,-123.113952
Shreveport,3,32.4707862,-93.7559378
Piedmont,3,45.060735,7.923549
Muncie,3,40.1936892,-85.3865271
North Charleston,3,32.8546197,-79.9748103
Spokane,3,47.6571934,-117.42351
Sylmar,2,34.3076252,-118.4492148
Chickasha,2,35.0421234,-97.9440297
Marion,2,32.7931661,-94.344488
Brookville,2,40.8131553,-73.5673482
Northglenn,2,39.9100858,-104.987552
Hickory,2,37.959055,-93.3334746
Carrollton,2,32.9537349,-96.8902816
Queens,2,40.7135078,-73.8283132
Parker,2,32.77725975,-97.80455986920202
Azle,2,32.8975875,-97.5437799
Garland,2,32.912624,-96.6388833
St. Petersburg,2,27.7703796,-82.6695085
Chico,2,39.7284945,-121.8374777
Mansfield,2,40.75839,-82.5154471
St. Augustine,2,29.8946952,-81.3145395
Jurupa Valley,2,33.9798472,-117.4515754
Landover,2,38.92531295,-76.88154330442846
Oxford,2,51.7520131,-1.2578499
Cerritos,2,33.8644291,-118.0539323
Owensboro,2,37.7742152,-87.1133304
Hackensack,2,40.8871438,-74.0410865
Stockbridge,2,33.5442781,-84.2338093
Aloha,2,45.4942838,-122.867045
Salem,2,44.9391565,-123.033121
Cape Coral,2,26.6059432,-81.9806771
Eagar,2,34.1111581,-109.291475
Bend,2,44.0581728,-121.3153096
Wake Forest,2,35.9803138,-78.5103731
Lealman,2,27.8197898,-82.6822635
Honolulu,2,21.304547,-157.855676
Minneapolis,2,44.9772995,-93.2654692
Aiken,2,33.5723191,-81.6182086
Cartersville,2,34.1652304,-84.7997613
Ellis County,2,32.3347829,-96.7920233
Santa Maria,2,-29.6860512,-53.8069214
Homestead,2,25.4718946,-80.4759905
Riverview,2,46.0612076,-64.8033246
Rapid City,2,44.0806041,-103.2280239
Rossville,2,39.13611,-95.951656
Dayton,2,39.7589478,-84.1916069
Myrtle Beach,2,33.6956461,-78.8900409
Houma,2,29.5957696,-90.7195348
